iso,country,GCAM_region,source,rule,GHGs,CO2,CH4,N2O,HFCs,PFCs,SF6,other_GHG,GHG_total,LULUCF,sectors_C2ES,energy,industry,ag,LULUCF,waste,other_sector,INDC_UC,INDC_CN,INDC_UC_MtCO2eq,INDC_CN_MtCO2eq,target_type,ref_point,BY_emiss_source,BY_emiss_net_Mt_CO2e,BY_emiss_gross_Mt_CO2e,GWP,target_year,ref_emiss,notes
mwi,Malawi,Africa_Southern,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes and product use, AFOLU, waste)",1,1,1,1,1,,,,,,action,BAU,,,,,2030,,INDC specifies reduction between 14-16 Mt from BAU in 2030 (assumed fully conditional)
mys,Malaysia,Southeast Asia,ADVANCE,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes, agriculture, land-use, land-use change and forestry, waste)",1,1,1,1,1,,-0.35,-0.45,,,intensity_GDP,2005,INDC,1337.546,,SAR,2030,1337.546,ref_emiss imputed from ADVANCE
mdv,Maldives,South Asia,Minji,2,"CO2, CH4",1,1,,,,,,2,0,"Energy, transportation, waste",1,,,,1,,-0.1,-0.24,,,BAU,BAU,INDC,,3.3,,2030,3.3,
mli,Mali,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, forests",1,,1,1,,,,,-31.198,-87.222,BAU,BAU,INDC,-31.198,,,2030,-31.198,"Sectoral targets for Energy, ag, LULUCF"
mhl,Marshall Islands,Southeast Asia,Minji,1,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, waste",1,,,,1,,-0.32,-0.32,,,base_year,2010,INDC,,0.185,,2025,0.185,Also provide indicative target for 2030 (45% below 2010 levels by 2030)
mtq,Martinique,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
mrt,Mauritania,Africa_Western,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes products and uses, agriculture, forestry and land-use, waste)",1,1,1,1,1,,-0.03,-0.22,,,BAU,BAU,INDC,18.84,,,2030,18.84,
mus,Mauritius,Africa_Eastern,Minji,2,"CO2, SLCFs",1,,,,,,SLCFs,1,1,"All (Energy, industrial processes products and uses, agriculture, forestry and land-use, waste)",1,1,1,1,1,,0,-0.3,,,BAU,BAU,INDC,7,,"""The carbon dioxide equivalent calculated using the locally determined emission factor and IPCC Guidelines""",2030,7,
myt,Mayotte,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
mex,Mexico,Mexico,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, Black Carbon",1,1,1,1,1,1, Black Carbon,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.22,-0.36,,,BAU,2030,INDC,973,,AR5,2030,973,Emissions peaking after 2026
fsm,"Micronesia, Federated States of",Southeast Asia,MB,1,CO2,1,,,,,,,1,0,"Energy, electricity generation and transport",1,,,,,,-0.28,-0.35,,,base_year,2000,INDC,,0.15,N/A,2025,0.15,
mda,"Moldova, Republic of",Europe_Eastern,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy; industrial processes and product use; agriculture; land use, land-use change and forestry; and waste)",1,1,1,1,1,,-0.64,-0.78,,,base_year,1990,INDC,37.5,43.4,AR4,2030,37.5,
mng,Mongolia,Central Asia,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, industrial processes, agriculture",1,1,1,,,,0,-0.14,,,BAU,BAU,INDC,,51.2,,2030,51.2,
mne,Montenegro,Europe_Non_EU,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,0,"Energy, industrial processes and uses, agriculture, waste",1,1,1,,1,,-0.3,-0.3,,,base_year,1990,INDC,,5.239,SAR,2030,5.239,
msr,Montserrat,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
mar,Morocco,Africa_Northern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial, agriculture, LULUCF and waste)",1,1,1,1,1,,-0.13,-0.32,148,117,BAU,BAU,INDC,,171,SAR,2030,171,
moz,Mozambique,Africa_Southern,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, transports, land use, land use change and forestry, waste",1,1,,1,1,,,,,,action,BAU,,,,SAR,2030,,"INDC estimates ""the total reduction of about 76,5 MtCO2eq in the period from 2020 to 2030, with 23,0 MtCO2eq by 2024 and 53,4 MtCO2eq from 2025 to 2030"""
mmr,Myanmar,Southeast Asia,C2ES,3a,,,,,,,,,0,1,"Energy, forestry",1,,,1,,,,,,,action_conditional,,,,,,,,
nam,Namibia,Africa_Southern,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes and product use, AFOLU, waste)",1,1,1,1,1,,-0.09,-0.89,,,BAU,BAU,INDC,22.647,,SAR,2030,22.647,
nru,Nauru,Southeast Asia,C2ES,3a,CO2,1,,,,,,,1,0,Energy,1,,,,,,,,,,action,,,,,N/A,,,
npl,Nepal,South Asia,MB,3a,,,,,,,,,0,,,,,,,,,,,,,non_GHG,,,,,,,,"""By 2050, Nepal will achieve 80% electrification through renewable energy sources
having appropriate energy mix. Nepal will also reduce its dependency on fossil fuels
by 50%."""
ant,Netherlands Antilles,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
ncl,New Caledonia,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
nzl,New Zeland,Australia_NZ,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.3,-0.3,,,base_year,2005,UNFCCC CRF 2014,48.24,,AR4,2030,48.24,
nic,Nicaragua,Central America and Caribbean,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
ner,Niger,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, AFOLU",1,,1,1,,,-0.04,-0.35,,,BAU,BAU,INDC,96.468,,,2030,96.468,
nga,Nigeria,Africa_Western,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, transport, AFOLU",1,,1,1,,,-0.2,-0.45,,,BAU,BAU,INDC,900,,AR4,2030,900,"pg. 3:  ""Under a business-as-usual growth scenario, consistent with strong economic growth of 5%
per year, Nigeria’s emissions are expected to grow to around 900 million tonnes per year in
2030"""
niu,Niue,Southeast Asia,C2ES,3a,"CO2, CH4, N2O",1,1,1,,,,,3,0,Electricity,1,,,,,,,,,,non_GHG,,,,,,2025,,"""A 38% renewable energy contribution in 2020 would equate to a reduction of 364,000 litres of diesel per annum, or approximately 1.2 Gg CO2e per annum.""; 3.1 Mt reduction
An 80% renewable energy contribution in 2020 would equate to a reduction of 977,000 litres of diesel per annum, or approximately 3.1 Gg CO2e per annum."""
nfk,Norfolk Island,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
mnp,Northern Mariana Islands,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
nor,Norway,European Free Trade Association,MB,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy; industrial processes and product use; agriculture; land-use, land-use change and forestry; waste)",1,1,1,1,1,,-0.4,-0.4,,,base_year,1990,INDC,41.8,52,AR4,2030,41.8,
omn,Oman,Middle East,,2,"CO2, CH4, N2O, HFCs, PFCs",1,1,1,1,1,,,5,0,"Energy, industrial processes, waste",1,1,,,1,,0,-0.02,,,BAU,BAU,INDC,,90.524,,2030,90.524,
pci,Pacific Islands Trust Territory,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
pak,Pakistan,Pakistan,MB,3a,,,,,,,,,0,,,,,,,,,,,,,trajectory,,,,,,,,"""Pakistan is committed to reduce its emissions after reaching peak levels to the extent possible subject to affordability, provision of international climate finance, transfer of technology and capacity building. As such Pakistan will only be able to make specific commitments once reliable data on our peak emission levels is available."""
plw,Palau,Southeast Asia,MB,1,"CO2, CH4",1,1,,,,,,2,0,Energy (electricity generation),1,,,,,,0,-0.22,,,base_year,2005,INDC,,0.088,,2025,0.088,
pse,"Palestinian Territory, Occupied",Middle East,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
pan,Panama,Central America and Caribbean,MB,3a,CO2,1,,,,,,,1,1,"Electricity, LULUCF",1,,,1,,,,,,,non_GHG,BAU,,,,N/A,2050,,"Non-hydro renewables to be 15% of electricity mix by 2030 and 30% by 2050;  increase LULUCF absorption capacity by 10%, through reforestation and restoration activities in protected areas, with respect to the baseline scenario tending to 2050"
png,Papua New Guinea,Southeast Asia,MB,3a,"CO2, CH4 (O&G only)",1,1,,,,,,2,0,Electricity,1,,,,,,,,,,action_conditional,BAU,INDC,,18,,2030,,"""Thus with BAU CO2 emissions in 2030 could reach 18 Mt CO2 per year (including CO2 eq in the oil and gas sector only)."""
pry,Paraguay,South America_Southern,Minji,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.1,-0.2,,,BAU,BAU,INDC,416,,SAR,2030,416,
per,Peru,South America_Southern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, industrial processes and product use, transport, land-use and forestry, waste",1,1,,1,1,,-0.2,-0.3,,,BAU,BAU,INDC,298.3,139.3,SAR,2030,298.3,
phl,Philippines,Southeast Asia,Minji,3,UNSPECIFIED,1,,,,,,,1,1,"Energy, transport, waste, forestry and industry)",1,1,,1,1,,0,-0.7,,,BAU,BAU,,,,,2030,,
pcn,Pitcairn Islands,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
qat,Qatar,Middle East,C2ES,3a,,,,,,,,,0,,,,,,,,,,,,,action,,,,,,2030,,
reu,Reunion,Africa_Eastern,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,COVERED UNDER FRENCH INDC??
rus,Russia,Russia,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.25,-0.3,,,base_year,1990,UNFCCC CRF 2014,3532.352,3367.781,AR4,2030,3532.352,
rwa,Rwanda,Africa_Eastern,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industry, urban and rural settlement, transport, agriculture, land use, forestry, waste_",1,1,1,1,1,urban and rural settlement,,,,,action_conditional,,,,,,2030,,
kna,Saint Kitts and Nevis,Central America and Caribbean,MB,2,CO2,1,,,,,,,1,1,"""All the economic sectors are covered and targeted into St. Kitts and Nevis’ national contributions, but with special attention to the Energy and Transport sectors, since they are the highest contributors to the GHG national matrix.""",1,1,1,1,1,,-0.35,-0.35,,,BAU,BAU,INDC,0.836,,N/A,2030,0.836,Also provide 2025 target (22% below BAU of 676)
lca,Saint Lucia,Central America and Caribbean,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, transport, electricity generation",1,,,,,,0,-0.23,,,BAU,BAU,INDC,,0.816,,2030,0.816,
vct,Saint Vincent and the Grenadines,Central America and Caribbean,MB,2,"CO2, CH4, N2O, HFCs",1,1,1,1,,,,4,1,"All (Energy, industrial processes and product use, agriculture, waste, land-use, land-use change and forestry)",1,1,1,1,1,,-0.22,-0.22,,,BAU,BAU,INDC,0.6,,AR4,2025,0.6,600 Gg estimated from chart on page 3
wsm,Samoa,Southeast Asia,Minji,3a,CO2,1,,,,,,,1,0,Electricity,1,,,,,,,,,,non_GHG,,,,,N/A,2025,,
smr,San Marino,EU-15,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (energy; industrial processes and product use; agriculture; land-use, land-use change and forestry; waste)",1,1,1,1,1,,-0.2,-0.2,,,base_year,2005,INDC,0.213,,SAR,2030,0.213,
stp,Sao Tome and Principe,Africa_Western,Minji,2,"CO2, CH4, NOx",1,1,,,,,NOx,2,0,"UNSPECIFIED (pg. 8: ""The scope of the contribution covers all sectors of the
national economy."", ""The calculations were performed without including the
absorption of CO2 of forests."")",1,1,1,,1,,0,-0.24,,,BAU,BAU,INDC,-0.39,0.24,,2030,0.24,
sau,Saudi Arabia,Middle East,ADVANCE,3a,"CO2, CH4",1,1,,,,,,2,0,Energy,1,,,,,,,,,,action,BAU,ADVANCE (from CAT),,1160,,2030,1160,Unconditionally contribute policy measures and actions which will achieve an estimated 130 MtCO2e reduction annually by 2030.
sen,Senegal,Africa_Western,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, industrial processes and product use, AFOLU, waste",1,1,1,1,1,,-0.05,-0.21,,,BAU,BAU,Minji,37,,,2030,37,See chart on pg. 13 to for BAU assumption; Also provide target for 2020 & 2025
srb,Serbia,Europe_Non_EU,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,0,UNSPECIFIED,1,,,,,,-0.1,-0.1,,,base_year,1990,UNFCCC,74.138,80.803,AR4,2030,74.138,"1990 emissions in Initial National Communications to UNFCCC, pg. 44 (http://unfccc.int/resource/docs/natc/srbnc1.pdf)"
syc,Seychelles,Southeast Asia,Minji,2,"CO2, CH4",1,1,,,,,,2,0,"Energy, waste",1,,,,1,,-0.29,-0.29,,,BAU,BAU,INDC,,0.648,SAR,2030,0.648275862,
sle,Sierra Leone,Africa_Western,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy, industrial processes, AFOLU, waste)",1,1,1,1,1,,,,,7.58,action_conditional,BAU,INDC,6.551 (in 2030),,SAR,2035,7.58,"""It is against this backdrop, that this INDC intends to maintain the emission levels of Sierra Leone relatively Low (close to the world average of 7.58 MtCO2e) by 2035 or neutral by 2050 by reducing her carbon footprint and by following green growth pathways in all economic sectors.
This target will only be achieve by Sierra Leone with the availability of international support that will come in the form of finance, investment, technology development and transfer, and capacity building. This would require substantial donor support estimated to about $ 900 million."""
sgp,Singapore,Southeast Asia,ADVANCE,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"All (Energy, industrial processes and product use, agriculture, land use, land-use change and forestry, waste)",1,1,1,1,1,,-0.36,-0.36,,,intensity_GDP,2005,INDC,118.436,,SAR,2030,118.436,ref_emiss imputed from ADVANCE
slb,Solomon Islands,Southeast Asia,Minji,3,CO2,1,,,,,,,1,1,"Energy, LULUCF",1,,,1,,,-0.3,-0.45,-0.0083,-0.031125,BAU,BAU,,,,N/A,2030,,Also provide 2025 target (12% unconditional/ 27% conditional)
som,Somalia,Africa_Eastern,C2ES,3a,,,,,,,,,0,,,,,,,,,,,,,action,,,,,,,,
zaf,South Africa,South Africa,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,0,-0.35,614,398,limit,,,,,AR4,2030,614,"NOTE: range in emissions, not a % reduction, set high end of emissions range as ref_emiss, and imputed % reduction for low end of range (conditional commitment); emissions will be in a range between 398 and 614 Mt CO2–eq, peak between 2020 and 2025, plateau for approximately a decade and decline in absolute terms thereafter"
lka,Sri Lanka,South Asia,MB,3,"CO2, CH4, N2O",1,1,1,,,,,3,0,Electricity generation,1,,,,,,-0.04,-0.16,,,BAU,BAU,,,,,2030,,"Also provide goal for ""other sectors (transport, industry, forests, waste)"" of 10% (3% unconditional, 7% conditional)"
sdn,Sudan,Africa_Eastern,MB,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, waste, forestry",1,,,1,1,,,,,,action,,,,,,2030,,"""GHG emissions associated with this energy use trajectory are expected to reach just over 24 million tons of CO2-equivalent by 2030"""
sur,Suriname,South America_Northern,MB,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, Forests",1,,,1,,,,,,,action,,,,,,2025,,
sjm,Svalbard and Jan Mayen Islands,European Free Trade Association,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
swz,Swaziland,Africa_Southern,Minji,3a,,,,,,,,,0,0,"Energy, transport and industrial processes sector",1,1,,,,,,,,,action_conditional,BAU,,,,AR4,2030,,Estimate that actions will reduce emissions by -0.97 Mt CO2e by 2030
che,Switzerland,European Free Trade Association,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy; industrial processes and product use; agriculture; land-use, land-use change and forestry; waste)",1,1,1,1,1,,-0.5,-0.5,,,base_year,1990,INDC,,53.3,,2030,53.3,"LULUCF included in target but ""The submitted INDC assumes 0 emissions from the non-forest lands"" and ""Anticipated accountable emissions/removals from forest land in target year: 0"""
syr,Syrian Arab Republic,Middle East,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
twn,Taiwan,Taiwan,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,Covered under China INDC??
tjk,Tajikistan,Central Asia,MB,1,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, industrial processes, agriculture, land-use and forestry, transport and infrastructure",1,1,1,1,,infrastructure,-0.15,-0.3,,,base_year,1990,INDC,25.5,,AR4,2030,25.5,
tza,"Tanzania, United Republic of",Africa_Southern,MB,2,UNSPECIFIED,1,,,,,,,1,1,"Energy, transport, forestry, waste",1,,,1,1,,-0.1,-0.2,,,BAU,BAU,INDC,146.5,,,2030,146.5,
tha,Thailand,Southeast Asia,MB,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,0,"Energy, industrial processes and product use, agriculture, waste (LULUCF to be decided later)",1,1,1,,1,,-0.2,-0.25,,,BAU,BAU,INDC,,555,AR4,2030,555,
tls,Timor Leste,Southeast Asia,MB,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, LULUCF, waste",1,,1,1,1,,,,,,action,,,,,,2025,,
tgo,Togo,Africa_Western,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture and LULUCF",1,,1,1,,,-0.11,-0.31,34.53328,27.62662,BAU,BAU,INDC,38.861,,,2030,38.861,
tkl,Tokelau,Southeast Asia,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
ton,Tonga,Southeast Asia,MB,3a,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy (Electricity), Transport, Agriculture, Waste",1,,1,,1,,,,,,action,,,,,,2030,,
tto,Trinidad and Tobago,Central America and Caribbean,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Transportation, power generation and industry",1,1,,,,,0,-0.15,,,BAU,BAU,INDC,,103,"""GWP used were consistent with the 1996 IPCC Guidelines""",2030,103,"UNCONDITIONAL COMMITMENT, pg. 1:  Trinidad and Tobago will commit to unconditionally reduce its public transportation emissions by 30% or one million, seven hundred thousand tonnes (1,700,000) CO2e compared to 2013 levels by December 31, 2030."
tun,Tunisia,Africa_Northern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"All (Energy; industrial processes; agriculture, forestry and other land use (AFOLU); waste)",1,1,1,1,1,,-0.09,-0.38,62.2,42.4,BAU_intensity_GDP,2010,INDC,68.2,,AR4,2030,68.2,intensity_GDP target transformed to BAU target based on expected emissions (pg. 13) (better to use their assumptions) by imputing new % reductions; Also provide 2025 target (see pg. 13)
tur,Turkey,Europe_Non_EU,Minji,2,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy, industrial processes and products use, agriculture, land use land-use change and forestry, waste)",1,1,1,1,1,,-0.21,-0.21,,,BAU,BAU,INDC,1175,,AR4,2030,1175,
tkm,Turkmenistan,Central Asia,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, industrial processes, agriculture, waste",1,1,1,,1,,,,,,trajectory,,,,,SAR,2030,,"C2ES:  ""Stabilization or decrease in GHG emissions by 2030, depending on level of international support"""
tuv,Tuvalu,Southeast Asia,MB,1,"CO2, CH4",1,1,,,,,,2,0,Energy,1,,,,,,-0.6,-0.6,,,base_year,2010,INDC,,20,,2025,20,
uga,Uganda,Africa_Eastern,MB,3a,UNSPECIFIED,1,,,,,,,1,1,"Energy (excluding transport), LULUCF",1,,,1,,,0,-0.22,,,action_conditional,BAU,INDC,77.3,,SAR,2030,77.3,"INDC offers ""Potential emission reduction 22% in 2030 compared to BAU"";  GHGs: ""All Greenhouse Gases s are considered within Greenhouse Gas emission estimates"""
ukr,Ukraine,Europe_Eastern,Minji,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,"All (Energy, industrial processes and product use, agriculture, land use, land-use change and forestry, waste)",1,1,1,1,1,,-0.4,-0.4,,,base_year,1990,INDC,874.6,944.4,AR4,2030,874.6,
are,United Arab Emirates,Middle East,C2ES,3a,,,,,,,,,0,0,"Energy, transport, waste",1,,,,1,,,,,,action,,,,,,,,
usa,USA,USA,ADVANCE,1,"CO2, CH4, N2O, HFCs, PFCs, SF6, NF3",1,1,1,1,1,1,NF3,6,1,All (Energy; industrial processes and product use; agriculture; LULUCF; waste),1,1,1,1,1,,-0.26,-0.28,,,base_year,2005,UNFCCC CRF 2014,6223.064,7228.293,AR4,2025,6223.064,
ury,Uruguay,South America_Southern,Minji,3a,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, LULUCF, waste",1,,1,1,1,,,,,,sectoral,1990,,,,"""Finally, in 2014 the IPCC pointed outI that ""the GWP metric is not directly related to a temperature limit, as the 2oC target, whereas some economic metrics and physical end-point metrics like the GTP may be more suitable for this purpose"", thus calling upon further dialogue on the implications of the different metrics and to ""provide metrics that can be useful to the users and policymakers"". Due to the significant impact this discussion could have on priority assignment concerning mitigation policies, especially with regard to the agriculture sector, Uruguay has decided to submit its contribution sorted by gases.""",2030,,"See pg. 13, Annex for the UNFCCC Secretariat: Total estimated emissions and removals per gas by 2030"
uzb,Uzbekistan,Central Asia,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,UNSPECIFIED,1,,,,,,0,-0.1,,,intensity_GDP,1990,imputed,,322.647,,2030,322.647,SPECIAL CASE - see separate excel workbook
vut,Vanuatu,Southeast Asia,Minji,2,CO2,1,,,,,,,1,0,Energy,1,,,,,,0,-0.3,,,non_GHG,BAU,INDC,,0.24,N/A,2030,0.24,
ven,Venezuela,South America_Northern,MB,3,UNSPECIFIED,1,,,,,,,1,1,"Transport, health, biological diversity, forestry",1,,,1,,,0,-0.2,,,BAU,BAU,,,,,2030,,Compare GCAM BAU with graph on pg. 7
vnm,Viet Nam,Southeast Asia,Minji,2,"CO2, CH4, N2O, HFCs, PFCs, SF6",1,1,1,1,1,1,,6,1,"Energy, agriculture, land-use, land-use change and forestry, waste",1,,1,1,1,,-0.08,-0.25,,,BAU,BAU,INDC,787,,AR4,2030,787,
esh,Western Sahara,Africa_Northern,NO INDC,3a,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
yem,Yemen,Middle East,MB,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,"Energy, agriculture, waste",1,,1,,1,,-0.01,-0.14,,,BAU,BAU,INDC,,43.81,SAR,2030,43.81,
zmb,Zambia,Africa_Southern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,1,"Energy, agriculture, LULUCF, waste",1,,1,1,1,,-0.25,-0.47,,,BAU,BAU,INDC,81,,SAR,2030,81,BY emissions from Minji seem to be inferred from graph on pg. 5
zwe,Zimbabwe,Africa_Southern,Minji,2,"CO2, CH4, N2O",1,1,1,,,,,3,0,Energy,1,,,,,,0,-0.33,,,intensity_capita,BAU,INDC/ UN pop,,65.351,,2030,65.351,"SPECIAL CASE - converted per capita BAU emissions to raw emissions using UN population data & GCAM BAU; 
pg. 10:  ""*GWP: The CO2, CH4 and N2O emissions will be calculated based on the adopted methodologies or any internationally agreed locally relevant guidelines""
"
